------------------------------------------------------------
 E - Electric Field
------------------------------------------------------------
Position (um) (#1), Electric Field (V/cm) (#1)
       8.67764146644,   -8.35310648626e-13
       8.99999977264,   -1.42452051778e-12

------------------------------------------------------------
 E - Electric Field -DA
------------------------------------------------------------
Position (um) (#1), Electric Field (V/cm) (#1)
      0.331537038818,                    0
      0.646497225694,                    0
      0.945709403227,                    0
       1.22996097188,                    0
       1.49999996211,                    0
       1.58001465405,                    0
        1.6560286114,                    0
       1.72824187087,                    0
       1.79684446738,                    0
       1.86201693406,                    0
        1.9239307774,                    0
       1.98274892858,                    0
        2.0386261722,                    0
       2.09170955364,                    0
         2.142138766,                    0
       2.19004651775,                    0
       2.23555888191,                    0
       2.27879562786,                    0
       2.31987053652,                    0
       2.35889169974,                    0
        2.3959618048,                    0
       2.43117840461,                    0
       2.46463417443,                    0
       2.49641715575,                    0
       2.52661098801,                    0
       2.55529512866,                    0
       2.58254506228,                    0
       2.60843249921,                    0
        2.6330255643,                    0
       2.65638897613,    -654.813003747374
       2.67858421737,    -1335.78162323374
       2.69966969655,    -1982.70181180713
       2.71970090177,    -2597.27599092118
       2.73873054673,     -3181.1214611102
       2.75680870944,    -3735.77465772841
       2.77398296402,    -4262.69519468447
       2.79029850587,    -4763.26970476202
       2.80579827062,     -5238.8154891056
       2.82052304714,    -5690.58398446212
       2.83451158483,    -6119.76405492806
       2.84780069564,    -6527.48512200881
        2.8604253509,      -6914.820135444
        2.8724187734,    -7282.78839829951
       2.88381252478,    -7632.35824816566
       2.89463658859,    -7964.44960550778
       2.90491944921,    -8279.93639499816
        2.9146881668,     -8579.6488450447
       2.92396844851,    -8864.37567257357
       2.93278471613,    -9134.86615858793
       2.94116017037,    -9391.83212033225
        2.9491168519,    -9635.94978405072
       2.95667569935,    -9867.86156447589
       2.96385660443,    -10088.1777559565
       2.97067846426,    -10297.4781379858
       2.97715923109,    -10496.3135006529
       2.98331595959,    -10685.2070955394
       2.98916485166,    -10864.6560105282
       2.99472129912,    -11035.1324795681
       2.99999992421,    -11197.0851252481
       3.00000412797,    -11197.0241257577
       3.00001397359,    -11196.8730898175
       3.00002610439,    -11196.6869982576
       3.00003318796,    -11196.5783333228
       3.00004105073,    -11196.4577151332
       3.00005946613,    -11196.1752151734
        3.0000702195,    -11196.0102539674
       3.00008215574,    -11195.8271470395
       3.00009540497,    -11195.6238982944
       3.00011011161,    -11195.3982922685
       3.00012643598,    -11195.1478695859
       3.00014455603,     -11194.869900419
       3.00016466929,    -11194.5613545747
       3.00018699501,    -11194.2188686661
       3.00021177655,    -11193.8387094486
       3.00023928407,    -11193.4167325546
       3.00026981741,    -11192.9483383127
       3.00030370942,    -11192.4284206644
       3.00034132955,    -11191.8513120915
        3.0003830879,    -11191.2107214883
       3.00042943966,     -11190.499666049
       3.00048089012,    -11189.7103944133
       3.00053800013,    -11188.8343029068
       3.00060139224,    -11187.8618413515
       3.00067175748,    -11186.7824090574
        3.0007498629,    -11185.5842391556
